atr14,body_fraction,direction,entry_timestamp_ms,escape_close,escape_distance_atr,escape_extreme,escape_threshold,htf_ema20,htf_ema50,htf_relationship,prior_range_high,prior_range_low,reentry_close,reentry_distance_atr,reentry_threshold,rejection_reason,requested_entry,signal_close,signal_timestamp_ms,stop,stop_distance,stop_distance_atr,stop_distance_pct,strategy,symbol,tp1_distance_bps
0.21414285714285722,0.5707317073170723,SHORT,1721190600000,28.939,0.35957304869914075,28.95,28.883414285714284,28.158125285406573,27.664737139252576,EMA20_ABOVE_EMA50,28.862,27.863,28.822,0.18679119412941556,28.82987857142857,TP1_DISTANCE_LT_72_BPS,28.822,28.822,1721189700000,28.95,0.1280000000000001,0.597731821214143,0.4441051974186389,failed_range_escape_reversal_v1,AVAXUSDT,53.292623690236674
0.07142857142857169,0.9056603773585077,SHORT,1721210400000,14.445,0.4900000000000002,14.449,14.417142857142858,14.286645869722125,14.152689554818346,EMA20_ABOVE_EMA50,14.41,14.193,14.397,0.18199999999999794,14.399285714285714,TP1_DISTANCE_LT_72_BPS,14.397,14.397,1721209500000,14.449,0.0519999999999996,0.7279999999999918,0.3611863582690811,failed_range_escape_reversal_v1,LINKUSDT,43.34236299228972
0.07478571428571458,0.6705882352941295,SHORT,1721214000000,14.459,0.12034383954155137,14.459,14.45747857142857,14.297631977367637,14.162466435021548,EMA20_ABOVE_EMA50,14.45,14.193,14.402,0.6418338108882502,14.438782142857143,TP1_DISTANCE_LT_72_BPS,14.402,14.402,1721213100000,14.459,0.057000000000000384,0.7621776504298016,0.3957783641160977,failed_range_escape_reversal_v1,LINKUSDT,47.49340369393172
232.81428571428634,1.0,LONG,1721262600000,63858.2,0.6009081426029377,63858.1,63974.81857142857,64577.63642914412,64295.49886927355,EMA20_ABOVE_EMA50,64698.7,63998.1,64094.0,0.41191630361416726,64033.02214285714,TP1_DISTANCE_LT_72_BPS,64094.0,64094.0,1721261700000,63858.1,235.90000000000146,1.0132539731238914,0.36805317190376863,failed_range_escape_reversal_v1,BTCUSDT,44.16638062845224
13.749999999999968,0.8994159636599778,LONG,1721262600000,3381.33,0.14036363636365787,3381.33,3381.885,3428.886101414014,3424.225369830368,EMA20_ABOVE_EMA50,3426.44,3383.26,3395.19,0.8676363636363538,3385.3225,TP1_DISTANCE_LT_72_BPS,3395.19,3395.19,1721261700000,3381.33,13.860000000000127,1.0080000000000116,0.4082245765332758,failed_range_escape_reversal_v1,ETHUSDT,48.98694918399309
0.0651428571428572,0.7282608695652151,LONG,1721280600000,13.713,0.15350877192984844,13.704,13.716485714285716,13.976414101439111,14.05580866103285,EMA20_BELOW_EMA50,13.987,13.723,13.78,0.8749999999999779,13.732771428571429,TP1_DISTANCE_LT_72_BPS,13.78,13.78,1721279700000,13.704,0.07599999999999874,1.1666666666666463,0.5515239477503536,failed_range_escape_reversal_v1,LINKUSDT,66.18287373004245
12.0407142857142,0.9347593582888044,SHORT,1721294100000,3456.53,0.3371892982144273,3457.78,3453.674071428571,3430.178998894743,3425.749646980884,EMA20_ABOVE_EMA50,3452.47,3406.4,3447.79,0.3886812600106672,3450.663892857143,TP1_DISTANCE_LT_72_BPS,3447.79,3447.79,1721293200000,3457.78,9.990000000000236,0.8296849973305114,0.28975082589137496,failed_range_escape_reversal_v1,ETHUSDT,34.770099106965
0.1629999999999995,0.8765432098765671,LONG,1721299500000,27.33,0.6748466257668915,27.33,27.4237,27.766588184891617,27.809651267536736,EMA20_BELOW_EMA50,27.939,27.44,27.472,0.19631901840490876,27.464450000000003,TP1_DISTANCE_LT_72_BPS,27.472,27.472,1721298600000,27.33,0.142000000000003,0.8711656441718003,0.5168899242865572,failed_range_escape_reversal_v1,AVAXUSDT,62.026790914386865
0.08135714285714268,0.8181818181818266,LONG,1721299500000,13.625,0.34416154521510745,13.625,13.644864285714286,13.905219274978576,14.009623527257753,EMA20_BELOW_EMA50,13.958,13.653,13.688,0.43020193151887887,13.665203571428572,TP1_DISTANCE_LT_72_BPS,13.688,13.688,1721298600000,13.625,0.06300000000000061,0.7743634767339863,0.4602571595558198,failed_range_escape_reversal_v1,LINKUSDT,55.23085914669837
8.644285714285713,0.898961284230392,SHORT,1721305800000,3462.0,0.461576598909246,3462.86,3458.874428571429,3435.2030831896172,3428.4240135216023,EMA20_ABOVE_EMA50,3458.01,3429.26,3452.48,0.6397289704181359,3456.713357142857,TP1_DISTANCE_LT_72_BPS,3452.48,3452.48,1721304900000,3462.86,10.38000000000011,1.2007932573128537,0.3006534433219051,failed_range_escape_reversal_v1,ETHUSDT,36.07841319862861
0.06228571428571415,0.5540540540540602,SHORT,1721309400000,13.909,0.3532110091743166,13.931,13.893228571428573,13.876788792471444,13.985152018140441,EMA20_BELOW_EMA50,13.887,13.615,13.868,0.30504587155963575,13.877657142857144,TP1_DISTANCE_LT_72_BPS,13.868,13.868,1721308500000,13.931,0.06299999999999883,1.0114678899082403,0.4542832419959535,failed_range_escape_reversal_v1,LINKUSDT,54.51398903951442
8.95785714285723,0.5019255455712288,SHORT,1721343600000,3435.0,0.11163384100151394,3435.0,3434.895785714286,3424.0814967084843,3425.422280281924,EMA20_BELOW_EMA50,3434.0,3382.6,3431.09,0.3248544773143893,3432.6563214285716,TP1_DISTANCE_LT_72_BPS,3431.09,3431.09,1721342700000,3435.0,3.9099999999998545,0.43648831831590323,0.11395795505218034,failed_range_escape_reversal_v1,ETHUSDT,13.67495460626164
0.003680714285714299,0.5836734693877837,SHORT,1721346300000,0.81132,0.11139142247235163,0.81197,0.8112780714285714,0.823661494259539,0.8368890173510163,EMA20_BELOW_EMA50,0.81091,0.7853,0.80989,0.2771201241995001,0.8103578928571429,TP1_DISTANCE_LT_72_BPS,0.80989,0.80989,1721345400000,0.81197,0.0020799999999999708,0.5651077042499415,0.25682500092604804,failed_range_escape_reversal_v1,SUIUSDT,30.819000111125767
10.010000000000057,0.5884707766212893,LONG,1721352600000,3390.52,0.368631368631372,3390.3,3393.209,3421.9826310924327,3424.4557535397544,EMA20_BELOW_EMA50,3435.44,3394.21,3405.22,1.09990009990007,3395.7115,TP1_DISTANCE_LT_72_BPS,3405.22,3405.22,1721351700000,3390.3,14.919999999999618,1.4905094905094438,0.4381508390059855,failed_range_escape_reversal_v1,ETHUSDT,52.57810068071826
