symbol,bars,history_days_observed,realized_vol_daily,median_range_bps,median_hourly_quote_volume,turnover_24h,spread_bps,funding_rate_now,price_acceleration_24h,volume_acceleration,vol_pct,liq_pct,spread_pct,tier,roundtrip_slippage_bps_10,roundtrip_slippage_bps_25,roundtrip_slippage_bps_50,roundtrip_slippage_bps_100,roundtrip_slippage_bps_250,roundtrip_slippage_bps_500,roundtrip_slippage_bps_1000,cost_bps_100
0GUSDT,1000,41.666666666666664,0.09006593945163555,118.19651677757803,13569.359250000001,15420047.8774,4.3468811128010865,-0.001612,0.414104882459313,24.58494380150493,0.9567496723460026,0.9462647444298821,0.2857142857142857,HV_A,0.0,0.0,0.0,0.3562244126653624,5.829665714125465,9.479740008316861,12.79782900211801,16.703105525466448
1000000MOGUSDT,1000,41.666666666666664,0.04102559889772199,89.35555449132393,2353.93635,60049.9523,9.272137227629948,5e-05,0.033333333333333326,0.5311208185654364,0.5688073394495413,0.17300131061598953,0.6251638269986893,HV_D,,,,,,,,
10000NEXUSDT,1000,41.666666666666664,0.019555557557091797,27.47257930914713,125.689105,11312.2407,34.90401396160537,5e-05,0.018531228551818768,0.35307702499538457,0.13237221494102228,0.04193971166448231,0.9934469200524246,HV_D,,,,,,,,
1000BONKUSDT,1000,41.666666666666664,0.05204050459364921,128.4088357165695,48321.548262,3215716.323866,3.3573946617414774,5e-05,0.0030252100840336693,0.8151064216100994,0.762778505897772,0.872870249017038,0.21756225425950196,HV_A,0.0,0.0,0.0,1.627324725888002,4.68521795339405,5.704518037645823,6.2141685277861125,16.98471938762948
1000CATUSDT,1000,41.666666666666664,0.04281387708192897,83.48579891967219,1802.368573,81932.063573,5.460005460006185,5e-05,0.0460010454783063,0.271099560008826,0.6094364351245085,0.21100917431192662,0.34338138925294887,HV_D,,,,,,,,
1000RATSUSDT,1000,41.666666666666664,0.052180866284450296,132.54160196515477,14443.68669,274895.24187,9.857072449482104,5e-05,0.016004001000250012,0.21220625597377477,0.7640891218872871,0.5242463958060288,0.672346002621232,HV_B,0.0,0.0,0.4202901583061358,2.672289966095809,6.759008894525742,11.070748322843382,15.384278508642213,24.529362415577914
1000SATSUSDT,1000,41.666666666666664,0.03981225498973505,102.32558139534785,6200.52224173,208750.97579951,18.50138760407013,2e-05,0.04690265486725664,0.7612397251125879,0.5373525557011796,0.44823066841415465,0.9161205766710354,HV_D,,,,,,,,
1000XECUSDT,1000,41.666666666666664,0.03289074835718868,75.04572636849458,1023.033659,48675.394231,26.08317635125439,5e-05,0.017759954167860248,0.2618850953445131,0.34600262123197906,0.13761467889908258,0.9737876802096985,HV_D,,,,,,,,
1INCHUSDT,1000,41.666666666666664,0.028006147741987026,55.21368777724746,1826.2520115,304370.266374,1.1332086803780526,0.0001,0.02438754018401501,0.22681604500884509,0.2398427260812582,0.5504587155963303,0.10091743119266056,HV_D,,,,,,,,
1MBABYDOGEUSDT,1000,41.666666666666664,0.030969502680938163,78.80894541516155,8883.44334375,383503.2775299,8.395130824122214,5e-05,0.019812878370941145,0.5338998730131448,0.3040629095674967,0.5923984272608126,0.5727391874180865,HV_D,,,,,,,,
1MCHEEMSUSDT,1000,41.666666666666664,0.03464152834613282,66.7094773906064,513.70235,43715.0161,7.933359777865053,5e-05,0.02600426935765565,1.6252921018554802,0.399737876802097,0.12319790301441677,0.5294888597640891,HV_D,,,,,,,,
2ZUSDT,1000,41.666666666666664,0.04586048744154752,96.23979742944964,8246.938455,224261.52858,5.6491855757465865,5e-05,0.029686641011544834,0.7302247612424337,0.6762778505897772,0.47706422018348627,0.3617300131061599,HV_B,0.0,0.0,0.2760346558694504,2.023028224453771,4.7344010189775965,7.650600832591614,11.286243759508485,19.672213800200357
4USDT,1000,41.666666666666664,0.16739714815898715,359.92986217219755,35123.952556000004,4557257.569913,5.760553013089466,5e-05,0.1289767364388429,21.204431203879885,0.9921363040629095,0.8990825688073395,0.36959370904325034,HV_A,0.0,0.0,0.6309552056205092,2.547384954860732,5.388400877099908,6.769489092737224,9.72482118170026,20.3079379679502
AALUSDT,1000,41.666666666666664,0.018860091497722012,51.81123013001475,322.23203,44077.56859,0.7449621931682838,0.0,0.023216885007278032,0.8984384891643911,0.12319790301441677,0.127129750982962,0.06422018348623854,HV_D,,,,,,,,
