architecture,tier,horizon_h,median_estimated_cost_bps_100,events,symbols,mean_return_bps,median_return_bps,trimmed_mean_bps,winsorized_mean_bps,return_ex_top1pct_bps,return_ex_top_symbol_bps,return_ex_top_week_bps,first_half_mean_bps,second_half_mean_bps,raw_events_day,net_edge_bps,move_to_cost,top_symbol_share,top5_symbol_share,top_week_share
attention_continuation,HV_C,24,24.744651797905988,59,5,323.9174083698868,21.35231316726105,290.2388739121578,316.3128935766374,244.56006159848855,175.50191725625518,256.21745781640215,266.8252340470051,382.9782783590748,1.556043956043956,299.1727565719808,36.78221396743226,0.551451977907199,1.0,0.34307090464270185
vol_expansion,HV_C,24,24.990728325346442,76,5,225.55296610576883,78.22731446324894,245.60068815938132,246.96994016202265,308.01459259873604,0.35549218778995356,121.56148808713992,107.20149997939099,343.9044322321467,1.978308026030369,200.56223778042238,37.7433640996138,0.724052170398157,1.0,0.4902256783598665
attention_continuation,HV_C,12,24.744651797905988,83,5,125.95469721389091,-33.56414985939304,113.34458656716406,119.97353723571472,85.47411579865499,6.44573784748104,43.240678226997645,335.3557281598015,-88.55367595021256,2.1535135135135137,101.21004541598492,26.39704437644999,0.7703836385852512,0.9999999999999999,0.5000800909787663
vol_expansion,HV_C,12,25.236804852786896,106,5,93.83213322557842,32.89143820394358,111.59213498292655,88.61193515376173,168.66350051432164,-5.985367293707568,21.05975922510989,70.47300921557004,117.19125723558685,2.7237687366167025,68.59532837279153,27.51602340352332,0.811942564945207,1.0,0.6637869802953325
vol_expansion,HV_A,24,17.757604836388495,5315,82,70.40494787513074,0.0,47.980113885645345,58.933196975294436,33.653016605114715,61.928724364630995,55.60282321226506,31.756859786093656,109.0966896781238,29.92961051149695,52.64734303874225,31.877637748388434,0.1073112687980803,0.3770428269924432,0.22079778456298269
vol_expansion,HV_C,4,25.236804852786896,151,5,63.57238036389231,0.0,65.1003563135784,64.32137690825509,63.69775509077945,37.658654829054186,37.620100790896586,102.81542564173563,23.806094482344427,3.8471337579617835,38.33557551110541,17.25376771363673,0.3981163013474501,1.0000000000000002,0.44820873669521405
attention_continuation,HV_A,24,17.55401277422877,4150,81,54.92078816372301,-8.969648800038478,37.13466494444227,46.98686147077141,27.27903324011517,50.57285055048239,39.57206515221007,13.903118590387317,95.93845773705868,23.363828289936663,37.36677538949424,33.28739825470565,0.06630839482234699,0.2824027066827563,0.27216981335112417
vol_expansion,HV_C,1,25.236804852786896,226,5,55.48923973399635,0.0,56.86214065519757,59.701432065937766,49.710364529441264,36.29508365899053,19.5790487986438,98.22272400526818,12.755755462724524,5.745762711864407,30.252434881209453,10.562459211331438,0.39295812610735076,1.0,0.6726287956841227
attention_continuation,HV_C,4,24.990728325346442,104,5,48.97797966014899,-1.5683814303635302,44.699374785515516,51.37400638286756,48.22472355984498,28.54235128262487,-8.977662761026597,164.04821131048521,-66.0922519901873,2.6723768736616704,23.987251334802547,16.744397474014587,0.4709889684930733,1.0,0.6918345581744936
pump_exhaustion_reversal,HV_C,1,25.236804852786896,38,5,37.17758825462103,29.102753342431505,24.56445352787979,23.555291976640742,-32.03927717327049,-20.772174706336006,-39.60354948918687,-45.71135933896366,120.0665358482057,0.985945945945946,11.940783401834132,14.303733292419857,0.599828460647212,1.0,0.543138041575186
pump_exhaustion_reversal,HV_B,4,22.029604769489396,849,113,14.074988495281358,6.662225183211579,20.794187481787,17.828646940133,21.56876596326572,8.144032461374605,-4.647707709753853,19.957331689701082,8.178771849931389,21.561904761904763,-7.954616274208037,15.142135511278823,0.07180004116040842,0.2835662012515068,0.5631320506145993
attention_continuation,HV_A,12,17.55401277422877,5206,81,7.836314243042117,-17.084230668081844,3.755714247749262,9.052593645070743,-0.3026478022245667,2.1231450466523465,-3.8696447497235726,1.5346965452732084,14.13793194081103,29.226666666666667,-9.717698531186652,25.51736010090773,0.13969454015656205,0.37021704705559205,0.29555017732021827
pump_exhaustion_reversal,HV_B,12,21.945300845350168,744,113,9.442272168482491,11.702276046538508,10.148528267613502,4.785228263884389,1.4632823345948855,1.4339203352376972,-23.087895663264593,25.469226835764136,-6.933094556783529,19.076923076923077,-12.503028676867677,21.75800919920926,0.07964099686898904,0.3353628264936283,0.7090223612912652
attention_continuation,HV_A,1,17.55401277422877,8526,82,2.905280342522744,-10.637827361560381,-2.212360141534033,-0.28344966318796455,-6.160890239220566,0.9259177726356388,1.047952823562498,9.713046397476639,-3.902485712431149,47.74241717218852,-14.648732431706026,11.368762215921548,0.1365970491664171,0.4705383702721709,0.17168890734690373
