architecture,tier,horizon_h,median_estimated_cost_bps_100,events,symbols,mean_return_bps,median_return_bps,trimmed_mean_bps,winsorized_mean_bps,return_ex_top1pct_bps,return_ex_top_symbol_bps,return_ex_top_week_bps,first_half_mean_bps,second_half_mean_bps,raw_events_day,net_edge_bps,move_to_cost,top_symbol_share,top5_symbol_share,top_week_share
funding_crowding_continuation,HV_A,24,17.05433409148289,171,62,431.31256245038765,16.465422612512715,228.63793153058805,323.18767219887235,174.35130454734576,282.29922364986993,264.65842838870407,234.41812879234013,630.5234012102944,2.039761431411531,414.2582283589048,61.791306195198814,0.2682568894302582,0.6671959044714751,0.3655270161686463
funding_crowding_continuation_stop10pct,HV_A,24,17.05433409148289,171,62,329.9563882950443,-45.65440534370913,71.79564904105158,207.30781292160373,71.79564904105158,179.48098823812785,187.92741066775025,156.31723757370904,505.6383525542776,2.039761431411531,312.9020542035614,57.73491774500109,0.3226187947507098,0.7893266343402201,0.3663424578254177
funding_crowding_continuation,HV_A,12,17.55401277422877,191,62,132.34060203602223,-3.170912165733064,147.33962489618315,159.70565512022955,152.81657551433295,83.05979400216762,64.29138175085875,48.301440104183406,217.26438672503826,2.264822134387352,114.78658926179347,41.473764987742335,0.1935924969115268,0.625075207590547,0.3209181688665979
funding_crowding_continuation_stop10pct,HV_A,12,17.55401277422877,191,62,39.508325830783996,-67.00167504187782,-28.9142983129639,14.547094352539004,-28.9142983129639,-7.915841190410451,9.917419866080719,51.213043978636414,27.6804001234805,2.264822134387352,21.954313056555225,32.90262956070673,0.3106007938024402,0.6521285985779899,0.2810089010940651
funding_crowding_reversal_stop10pct,HV_A,4,18.136502122112955,243,62,18.381687889653758,8.665511265164572,-29.262666496980355,7.248832999309414,-29.262666496980355,6.425926947559974,-10.452374884052114,102.51349029718475,-66.44541867000561,2.8757396449704142,0.24518576754080357,22.729853460112416,0.14836133532336349,0.48926261995648224,0.3758690920429693
funding_crowding_reversal_stop10pct,HV_A,12,17.55401277422877,191,62,2.9309737223685843,-24.24977265838013,-77.91815608763777,-30.97751203723331,-77.91815608763777,-51.29702069219013,-75.52678485814884,76.24369271547863,-71.1534581022479,2.264822134387352,-14.623039051860186,32.76153773798646,0.33506045326447687,0.6558689588771627,0.6593556472859734
funding_crowding_reversal,HV_A,4,18.136502122112955,243,62,2.840480233112846,8.759124087589498,-11.348752390602685,-1.0072616934972858,-19.358070167617313,-8.295877499624186,-27.2368791531163,88.05653470152785,-83.07983914826428,2.8757396449704142,-15.296021889000109,23.841959935114357,0.13653249522973857,0.44319242646646206,0.3653713859305612
funding_crowding_continuation,HV_A,4,18.136502122112955,243,62,-2.840480233112846,-8.759124087589498,11.348752390602685,1.0072616934972185,19.358070167617313,-25.16210572942406,-49.18181368572583,-88.05653470152785,83.07983914826428,2.8757396449704142,-20.9769823552258,23.841959935114357,0.27249826805555666,0.6882231211641536,0.5773341637086027
funding_crowding_continuation_stop10pct,HV_A,4,18.136502122112955,243,62,-7.314860387935957,-24.85314053321197,-33.12064218919621,-8.938546059591392,-33.12064218919621,-18.574747111575146,-36.90829508764441,-13.993424975974095,-0.5811010512363489,2.8757396449704142,-25.45136251004891,20.59233871230614,0.1800072743228733,0.62757107302962,0.6717822829866197
funding_crowding_reversal_stop10pct,HV_A,24,17.05433409148289,171,62,-66.43216083823722,-79.20668579268985,-118.79919290204346,-80.95584596016242,-118.79919290204346,-98.46150591475669,-93.77113723857262,-22.77884365846432,-110.59904645541927,2.039761431411531,-83.48649492972011,35.70567872550907,0.21146631613404704,0.5257684091118657,0.3976821285740324
funding_crowding_reversal,HV_A,12,17.55401277422877,191,62,-132.34060203602223,3.170912165733064,-147.33962489618315,-159.70565512022955,-152.81657551433295,-174.90118922482168,-221.49780728669484,-48.301440104183406,-217.26438672503826,2.264822134387352,-149.894614810251,41.473764987742335,0.2644017622997543,0.6293378043484305,0.7901258023326015
funding_crowding_reversal,HV_A,24,17.05433409148289,171,62,-431.31256245038765,-16.465422612512715,-228.63793153058805,-323.1876721988712,-174.35130454734576,-465.4882628305079,-504.81369993785165,-234.41812879234013,-630.5234012102944,2.039761431411531,-448.3668965418705,61.791306195198814,0.20299778853263958,0.512040563259635,0.45189656596093525
